method	Recall_CV	Precision_CV	F1_CV	ACC_CV	MCC_CV	AUC
RNA-seq	0.789 (0.8)	0.786 (0.784)	0.785 (0.791)	0.786 (0.789)	0.574 (0.581)	0.871 (0.87)
ATAC	0.718 (0.736)	0.641 (0.642)	0.674 (0.685)	0.656 (0.662)	0.317 (0.329)	0.713 (0.718)
RNAPII	0.806 (0.812)	0.724 (0.723)	0.76 (0.764)	0.748 (0.75)	0.501 (0.506)	0.813 (0.811)
H3K27ac	0.759 (0.763)	0.689 (0.688)	0.72 (0.723)	0.707 (0.708)	0.419 (0.419)	0.773 (0.773)
H3K4me1	0.679 (0.693)	0.63 (0.633)	0.65 (0.661)	0.639 (0.645)	0.281 (0.291)	0.703 (0.703)
H3K4me3	0.791 (0.794)	0.71 (0.712)	0.746 (0.749)	0.733 (0.735)	0.471 (0.475)	0.791 (0.79)
H3K9me3	0.679 (0.677)	0.65 (0.651)	0.661 (0.663)	0.655 (0.656)	0.313 (0.313)	0.713 (0.715)
H3K27me3	0.632 (0.647)	0.621 (0.626)	0.623 (0.635)	0.622 (0.63)	0.246 (0.26)	0.658 (0.664)
CTCF	0.651 (0.648)	0.603 (0.6)	0.623 (0.622)	0.609 (0.607)	0.222 (0.216)	0.66 (0.66)
Smc1	0.725 (0.729)	0.644 (0.639)	0.679 (0.68)	0.66 (0.658)	0.326 (0.321)	0.717 (0.715)
Smc3	0.688 (0.691)	0.628 (0.625)	0.653 (0.655)	0.638 (0.638)	0.281 (0.278)	0.696 (0.693)
YY1	0.773 (0.778)	0.714 (0.712)	0.74 (0.743)	0.73 (0.731)	0.465 (0.465)	0.794 (0.793)
Oct4	0.659 (0.667)	0.624 (0.625)	0.637 (0.644)	0.629 (0.633)	0.261 (0.267)	0.686 (0.685)
Sox2	0.627 (0.636)	0.591 (0.593)	0.605 (0.613)	0.595 (0.599)	0.194 (0.2)	0.645 (0.648)
Nanog	0.632 (0.643)	0.601 (0.603)	0.612 (0.621)	0.604 (0.609)	0.212 (0.22)	0.652 (0.653)
mergeFeature	0.905 (0.91)	0.795 (0.795)	0.845 (0.848)	0.835 (0.837)	0.678 (0.683)	0.883 (0.88)
