Method	FPR	TPR
RF	0.856	1.0
RF	0.711	1.0
RF	0.665	1.0
RF	0.636	1.0
RF	0.614	1.0
RF	0.596	1.0
RF	0.58	1.0
RF	0.566	1.0
RF	0.552	1.0
RF	0.539	1.0
RF	0.526	0.999
RF	0.515	0.999
RF	0.503	0.998
RF	0.493	0.998
RF	0.482	0.997
RF	0.471	0.997
RF	0.461	0.996
RF	0.451	0.995
RF	0.441	0.995
RF	0.432	0.994
RF	0.422	0.993
RF	0.413	0.992
RF	0.404	0.991
RF	0.396	0.99
RF	0.388	0.989
RF	0.381	0.987
RF	0.373	0.986
RF	0.365	0.985
RF	0.357	0.983
RF	0.35	0.982
RF	0.343	0.98
RF	0.336	0.978
RF	0.329	0.976
RF	0.322	0.974
RF	0.316	0.971
RF	0.309	0.969
RF	0.303	0.966
RF	0.297	0.963
RF	0.291	0.96
RF	0.286	0.957
RF	0.28	0.954
RF	0.275	0.95
RF	0.27	0.946
RF	0.265	0.942
RF	0.26	0.938
RF	0.255	0.933
RF	0.251	0.928
RF	0.246	0.922
RF	0.242	0.917
RF	0.238	0.911
RF	0.234	0.905
RF	0.23	0.898
RF	0.226	0.891
RF	0.222	0.883
RF	0.218	0.876
RF	0.214	0.868
RF	0.21	0.859
RF	0.206	0.849
RF	0.202	0.839
RF	0.197	0.827
RF	0.193	0.816
RF	0.188	0.803
RF	0.183	0.79
RF	0.178	0.775
RF	0.173	0.76
RF	0.167	0.743
RF	0.162	0.726
RF	0.156	0.707
RF	0.15	0.687
RF	0.144	0.666
RF	0.138	0.644
RF	0.132	0.619
RF	0.125	0.595
RF	0.119	0.569
RF	0.113	0.542
RF	0.106	0.514
RF	0.099	0.484
RF	0.093	0.454
RF	0.086	0.423
RF	0.079	0.392
RF	0.072	0.36
RF	0.065	0.327
RF	0.058	0.295
RF	0.052	0.263
RF	0.045	0.231
RF	0.039	0.2
RF	0.033	0.171
RF	0.027	0.143
RF	0.022	0.117
RF	0.017	0.093
RF	0.013	0.071
RF	0.01	0.053
RF	0.007	0.037
RF	0.005	0.025
RF	0.003	0.015
