RNA-seq	0.869	0.858	0.86	0.875	0.859	0.887	0.9	0.86	0.882	0.864	0.881	0.898	0.888	0.9	0.863	0.86	0.839	0.89	0.878	0.851	0.881	0.849	0.904	0.832	0.885	0.847	0.852	0.868	0.878	0.856	0.908	0.896	0.846	0.866	0.89	0.861	0.892	0.852	0.892	0.829	0.905	0.868	0.842	0.886	0.878	0.892	0.872	0.847	0.884	0.882	0.84	0.858	0.867	0.861	0.873	0.85	0.857	0.862	0.875	0.865	0.861	0.849	0.868	0.897	0.825	0.891	0.866	0.858	0.899	0.87	0.876	0.845	0.875	0.896	0.893	0.86	0.838	0.893	0.895	0.874	0.872	0.902	0.887	0.888	0.881	0.855	0.883	0.872	0.857	0.891	0.86	0.865	0.872	0.85	0.866	0.885	0.923	0.85	0.844	0.881
ATAC	0.746	0.676	0.695	0.724	0.716	0.752	0.716	0.692	0.681	0.741	0.692	0.712	0.755	0.795	0.687	0.745	0.69	0.68	0.707	0.678	0.678	0.734	0.716	0.696	0.706	0.688	0.668	0.762	0.715	0.699	0.74	0.682	0.661	0.68	0.748	0.665	0.719	0.676	0.745	0.663	0.776	0.66	0.741	0.694	0.722	0.786	0.694	0.69	0.734	0.752	0.702	0.713	0.727	0.702	0.684	0.73	0.72	0.747	0.746	0.703	0.709	0.678	0.686	0.724	0.716	0.75	0.688	0.709	0.73	0.764	0.726	0.752	0.704	0.72	0.723	0.736	0.73	0.701	0.715	0.713	0.685	0.714	0.727	0.699	0.706	0.736	0.718	0.691	0.68	0.72	0.718	0.716	0.711	0.713	0.723	0.719	0.737	0.692	0.693	0.711
RNAPII	0.797	0.787	0.834	0.811	0.764	0.818	0.822	0.799	0.79	0.826	0.843	0.785	0.829	0.831	0.772	0.814	0.799	0.848	0.847	0.835	0.813	0.824	0.823	0.812	0.835	0.802	0.791	0.835	0.799	0.817	0.866	0.826	0.756	0.824	0.825	0.769	0.838	0.827	0.84	0.765	0.84	0.777	0.805	0.818	0.822	0.851	0.811	0.78	0.784	0.826	0.792	0.778	0.795	0.819	0.819	0.802	0.771	0.831	0.827	0.792	0.808	0.81	0.782	0.849	0.796	0.804	0.838	0.79	0.855	0.815	0.81	0.856	0.793	0.802	0.803	0.805	0.822	0.817	0.834	0.818	0.822	0.866	0.826	0.805	0.841	0.826	0.797	0.815	0.787	0.796	0.814	0.825	0.792	0.805	0.81	0.841	0.854	0.799	0.773	0.805
H3K27ac	0.771	0.75	0.775	0.806	0.766	0.797	0.761	0.717	0.716	0.773	0.786	0.775	0.828	0.775	0.743	0.739	0.757	0.742	0.801	0.738	0.77	0.786	0.761	0.761	0.789	0.754	0.728	0.806	0.772	0.746	0.818	0.757	0.741	0.793	0.812	0.772	0.798	0.756	0.779	0.77	0.821	0.751	0.798	0.784	0.788	0.796	0.817	0.704	0.786	0.804	0.77	0.724	0.766	0.737	0.752	0.757	0.75	0.785	0.827	0.798	0.778	0.742	0.749	0.796	0.786	0.813	0.765	0.755	0.769	0.766	0.737	0.799	0.763	0.762	0.781	0.77	0.829	0.807	0.786	0.758	0.789	0.773	0.783	0.752	0.797	0.784	0.76	0.783	0.752	0.77	0.795	0.781	0.789	0.764	0.78	0.787	0.814	0.758	0.719	0.752
H3K4me1	0.647	0.714	0.755	0.728	0.674	0.742	0.71	0.68	0.68	0.674	0.687	0.721	0.732	0.727	0.662	0.682	0.659	0.697	0.735	0.699	0.652	0.709	0.718	0.658	0.693	0.681	0.686	0.7	0.662	0.706	0.732	0.741	0.66	0.747	0.758	0.721	0.731	0.697	0.697	0.675	0.756	0.691	0.684	0.701	0.749	0.716	0.69	0.659	0.641	0.677	0.672	0.679	0.703	0.665	0.738	0.648	0.708	0.719	0.722	0.668	0.73	0.704	0.663	0.702	0.67	0.771	0.684	0.731	0.733	0.727	0.74	0.703	0.686	0.725	0.709	0.715	0.683	0.634	0.715	0.73	0.681	0.705	0.734	0.677	0.724	0.699	0.694	0.705	0.732	0.728	0.733	0.719	0.705	0.712	0.726	0.696	0.737	0.679	0.7	0.723
H3K4me3	0.776	0.802	0.799	0.804	0.782	0.781	0.796	0.746	0.777	0.811	0.802	0.798	0.821	0.846	0.753	0.811	0.734	0.8	0.812	0.767	0.796	0.818	0.758	0.752	0.817	0.754	0.776	0.83	0.806	0.768	0.824	0.791	0.758	0.788	0.821	0.76	0.804	0.769	0.798	0.716	0.829	0.777	0.791	0.753	0.84	0.818	0.779	0.773	0.814	0.799	0.795	0.751	0.777	0.754	0.812	0.785	0.768	0.778	0.795	0.766	0.824	0.78	0.806	0.829	0.779	0.788	0.763	0.792	0.809	0.817	0.751	0.795	0.812	0.789	0.766	0.799	0.84	0.832	0.799	0.795	0.783	0.812	0.782	0.803	0.841	0.765	0.776	0.811	0.767	0.767	0.781	0.779	0.8	0.783	0.807	0.783	0.825	0.83	0.76	0.776
H3K9me3	0.738	0.68	0.702	0.74	0.699	0.682	0.671	0.671	0.679	0.713	0.701	0.683	0.711	0.697	0.681	0.691	0.705	0.687	0.741	0.704	0.692	0.752	0.699	0.713	0.735	0.725	0.644	0.721	0.697	0.738	0.715	0.72	0.727	0.772	0.715	0.745	0.732	0.683	0.748	0.691	0.713	0.728	0.728	0.729	0.704	0.734	0.728	0.71	0.746	0.753	0.709	0.696	0.672	0.713	0.689	0.679	0.706	0.697	0.754	0.738	0.685	0.735	0.713	0.733	0.722	0.735	0.702	0.687	0.728	0.679	0.715	0.685	0.674	0.76	0.746	0.723	0.716	0.721	0.703	0.743	0.739	0.698	0.7	0.751	0.722	0.762	0.668	0.753	0.649	0.691	0.718	0.687	0.703	0.707	0.72	0.726	0.786	0.741	0.717	0.666
H3K27me3	0.631	0.62	0.698	0.69	0.623	0.633	0.663	0.644	0.67	0.678	0.625	0.675	0.68	0.738	0.657	0.655	0.623	0.709	0.63	0.645	0.647	0.645	0.615	0.651	0.677	0.627	0.66	0.656	0.666	0.62	0.661	0.685	0.665	0.681	0.67	0.616	0.718	0.681	0.677	0.673	0.687	0.657	0.665	0.633	0.642	0.643	0.643	0.665	0.671	0.692	0.654	0.654	0.644	0.683	0.617	0.634	0.659	0.682	0.672	0.656	0.686	0.645	0.662	0.657	0.678	0.654	0.6	0.702	0.719	0.715	0.678	0.679	0.636	0.647	0.631	0.661	0.659	0.655	0.677	0.667	0.652	0.631	0.679	0.658	0.665	0.692	0.6	0.639	0.656	0.687	0.691	0.622	0.607	0.65	0.572	0.645	0.711	0.626	0.627	0.664
CTCF	0.657	0.629	0.565	0.693	0.68	0.699	0.674	0.63	0.63	0.691	0.628	0.667	0.711	0.684	0.607	0.657	0.626	0.692	0.693	0.601	0.664	0.669	0.672	0.604	0.628	0.681	0.64	0.674	0.632	0.65	0.674	0.604	0.623	0.65	0.679	0.64	0.678	0.611	0.667	0.662	0.728	0.678	0.688	0.591	0.691	0.669	0.672	0.627	0.697	0.656	0.657	0.62	0.643	0.644	0.666	0.654	0.668	0.684	0.68	0.645	0.669	0.659	0.667	0.68	0.674	0.687	0.663	0.614	0.701	0.662	0.631	0.663	0.627	0.645	0.624	0.686	0.705	0.703	0.671	0.703	0.625	0.642	0.7	0.628	0.701	0.682	0.662	0.643	0.705	0.669	0.628	0.702	0.656	0.646	0.681	0.669	0.722	0.649	0.602	0.642
Smc1	0.708	0.734	0.675	0.748	0.713	0.756	0.732	0.717	0.67	0.689	0.721	0.715	0.748	0.729	0.683	0.677	0.687	0.713	0.748	0.709	0.708	0.718	0.729	0.698	0.741	0.718	0.683	0.722	0.681	0.723	0.749	0.702	0.707	0.696	0.721	0.681	0.718	0.683	0.758	0.696	0.743	0.707	0.727	0.677	0.742	0.749	0.758	0.698	0.75	0.72	0.712	0.708	0.725	0.703	0.708	0.746	0.762	0.734	0.737	0.679	0.747	0.703	0.694	0.759	0.736	0.74	0.704	0.712	0.72	0.751	0.706	0.72	0.731	0.691	0.69	0.736	0.774	0.708	0.725	0.701	0.655	0.706	0.745	0.686	0.727	0.706	0.779	0.72	0.694	0.731	0.694	0.753	0.664	0.701	0.751	0.727	0.752	0.703	0.693	0.713
