RNA-seq	0.889	0.87	0.874	0.859	0.881	0.918	0.888	0.851	0.828	0.898	0.887	0.801	0.883	0.867	0.836	0.872	0.894	0.918	0.848	0.84	0.827	0.894	0.868	0.875	0.881	0.857	0.89	0.867	0.866	0.874	0.884	0.857	0.841	0.906	0.847	0.831	0.874	0.82	0.868	0.84	0.848	0.864	0.838	0.848	0.874	0.85	0.863	0.848	0.898	0.83	0.908	0.867	0.883	0.865	0.845	0.849	0.914	0.863	0.856	0.902	0.864	0.878	0.913	0.912	0.859	0.889	0.881	0.856	0.885	0.874	0.899	0.84	0.884	0.873	0.875	0.868	0.879	0.904	0.914	0.835	0.867	0.871	0.855	0.891	0.9	0.846	0.859	0.821	0.883	0.831	0.828	0.883	0.886	0.896	0.885	0.855	0.854	0.875	0.91	0.895
ATAC	0.704	0.664	0.707	0.737	0.736	0.717	0.696	0.73	0.726	0.721	0.731	0.719	0.731	0.721	0.722	0.667	0.754	0.749	0.67	0.721	0.725	0.753	0.745	0.642	0.739	0.712	0.732	0.692	0.706	0.696	0.744	0.716	0.733	0.748	0.756	0.741	0.702	0.73	0.706	0.641	0.703	0.719	0.749	0.721	0.743	0.773	0.7	0.725	0.756	0.698	0.753	0.685	0.739	0.77	0.687	0.729	0.733	0.665	0.689	0.83	0.614	0.758	0.743	0.762	0.749	0.687	0.755	0.721	0.74	0.702	0.733	0.673	0.697	0.735	0.699	0.723	0.635	0.745	0.734	0.673	0.77	0.671	0.712	0.792	0.671	0.726	0.683	0.679	0.77	0.718	0.722	0.699	0.74	0.743	0.711	0.667	0.74	0.691	0.691	0.718
RNAPII	0.814	0.794	0.804	0.775	0.857	0.848	0.788	0.807	0.82	0.81	0.807	0.791	0.822	0.852	0.813	0.768	0.836	0.877	0.75	0.748	0.814	0.798	0.751	0.81	0.838	0.792	0.811	0.791	0.819	0.796	0.841	0.841	0.799	0.817	0.824	0.823	0.841	0.827	0.794	0.752	0.79	0.808	0.767	0.78	0.84	0.779	0.826	0.798	0.836	0.811	0.835	0.81	0.836	0.791	0.815	0.8	0.816	0.789	0.801	0.862	0.815	0.822	0.875	0.849	0.856	0.828	0.805	0.835	0.835	0.781	0.779	0.799	0.807	0.799	0.801	0.767	0.819	0.874	0.844	0.767	0.798	0.774	0.848	0.85	0.795	0.808	0.834	0.736	0.836	0.815	0.781	0.798	0.786	0.832	0.793	0.827	0.823	0.81	0.838	0.811
H3K27ac	0.789	0.733	0.762	0.777	0.797	0.821	0.819	0.774	0.778	0.814	0.821	0.762	0.759	0.758	0.74	0.717	0.81	0.791	0.721	0.747	0.748	0.788	0.783	0.798	0.812	0.739	0.735	0.693	0.735	0.746	0.816	0.736	0.753	0.783	0.796	0.723	0.773	0.768	0.787	0.775	0.738	0.748	0.698	0.777	0.784	0.778	0.8	0.742	0.785	0.743	0.832	0.783	0.762	0.779	0.793	0.823	0.79	0.711	0.76	0.842	0.689	0.803	0.852	0.822	0.807	0.752	0.782	0.819	0.796	0.761	0.78	0.732	0.822	0.798	0.767	0.719	0.706	0.817	0.765	0.715	0.771	0.729	0.816	0.776	0.808	0.766	0.805	0.718	0.839	0.728	0.752	0.774	0.778	0.797	0.784	0.784	0.764	0.751	0.772	0.792
H3K4me1	0.702	0.707	0.712	0.689	0.733	0.72	0.681	0.687	0.729	0.781	0.76	0.744	0.749	0.719	0.698	0.696	0.723	0.711	0.665	0.659	0.704	0.759	0.749	0.72	0.772	0.672	0.706	0.671	0.697	0.717	0.703	0.68	0.66	0.702	0.7	0.679	0.727	0.711	0.678	0.705	0.668	0.696	0.749	0.682	0.668	0.74	0.711	0.692	0.753	0.674	0.676	0.72	0.718	0.751	0.654	0.709	0.748	0.714	0.75	0.736	0.692	0.7	0.734	0.693	0.75	0.64	0.743	0.693	0.714	0.606	0.678	0.633	0.71	0.721	0.683	0.685	0.678	0.745	0.64	0.663	0.65	0.654	0.704	0.754	0.674	0.716	0.744	0.63	0.736	0.706	0.702	0.641	0.722	0.704	0.706	0.741	0.721	0.764	0.608	0.668
H3K4me3	0.822	0.719	0.794	0.77	0.744	0.78	0.769	0.814	0.805	0.796	0.805	0.806	0.803	0.767	0.808	0.827	0.816	0.824	0.751	0.73	0.802	0.791	0.823	0.834	0.826	0.803	0.765	0.745	0.806	0.777	0.806	0.787	0.758	0.783	0.801	0.77	0.806	0.758	0.794	0.773	0.744	0.783	0.738	0.784	0.813	0.769	0.827	0.766	0.841	0.773	0.799	0.795	0.767	0.81	0.765	0.78	0.829	0.709	0.779	0.844	0.768	0.83	0.807	0.853	0.798	0.787	0.766	0.839	0.797	0.731	0.78	0.772	0.773	0.794	0.801	0.769	0.739	0.804	0.801	0.754	0.8	0.743	0.782	0.842	0.807	0.796	0.806	0.705	0.85	0.81	0.773	0.811	0.767	0.811	0.822	0.811	0.781	0.758	0.85	0.802
H3K9me3	0.692	0.705	0.756	0.737	0.724	0.754	0.641	0.753	0.802	0.759	0.713	0.692	0.753	0.777	0.675	0.705	0.733	0.679	0.743	0.7	0.739	0.694	0.733	0.704	0.756	0.742	0.702	0.693	0.751	0.727	0.693	0.705	0.622	0.719	0.723	0.694	0.752	0.705	0.735	0.662	0.676	0.71	0.668	0.746	0.726	0.705	0.701	0.719	0.776	0.632	0.703	0.695	0.72	0.692	0.633	0.708	0.732	0.62	0.673	0.757	0.698	0.713	0.736	0.757	0.777	0.662	0.782	0.779	0.727	0.684	0.651	0.693	0.719	0.677	0.696	0.717	0.761	0.717	0.713	0.768	0.746	0.676	0.785	0.758	0.706	0.713	0.698	0.642	0.709	0.729	0.702	0.696	0.737	0.772	0.75	0.724	0.649	0.719	0.716	0.691
H3K27me3	0.639	0.68	0.638	0.6	0.695	0.638	0.673	0.702	0.681	0.717	0.724	0.691	0.7	0.633	0.698	0.716	0.712	0.699	0.649	0.637	0.662	0.717	0.662	0.675	0.66	0.68	0.739	0.593	0.613	0.597	0.622	0.671	0.631	0.646	0.653	0.663	0.663	0.638	0.705	0.649	0.727	0.616	0.676	0.701	0.653	0.654	0.654	0.67	0.638	0.632	0.705	0.638	0.661	0.652	0.623	0.684	0.689	0.635	0.688	0.668	0.647	0.695	0.656	0.718	0.645	0.655	0.69	0.675	0.673	0.629	0.603	0.648	0.59	0.707	0.645	0.683	0.674	0.623	0.634	0.649	0.759	0.69	0.703	0.649	0.754	0.679	0.668	0.559	0.658	0.663	0.548	0.691	0.589	0.672	0.691	0.707	0.637	0.695	0.617	0.689
CTCF	0.661	0.66	0.654	0.655	0.668	0.642	0.658	0.675	0.664	0.669	0.614	0.716	0.64	0.618	0.681	0.622	0.724	0.686	0.599	0.658	0.654	0.621	0.662	0.618	0.644	0.595	0.661	0.656	0.666	0.586	0.672	0.677	0.645	0.582	0.71	0.59	0.686	0.638	0.691	0.619	0.637	0.691	0.671	0.611	0.633	0.679	0.657	0.65	0.631	0.696	0.71	0.668	0.634	0.689	0.633	0.676	0.615	0.677	0.654	0.754	0.598	0.708	0.701	0.69	0.696	0.629	0.685	0.744	0.613	0.692	0.646	0.68	0.645	0.675	0.647	0.664	0.644	0.642	0.652	0.659	0.698	0.702	0.68	0.65	0.679	0.659	0.642	0.654	0.616	0.615	0.633	0.665	0.709	0.655	0.667	0.652	0.746	0.617	0.733	0.665
Smc1	0.736	0.667	0.716	0.669	0.713	0.765	0.684	0.719	0.713	0.75	0.726	0.727	0.702	0.738	0.707	0.736	0.742	0.724	0.705	0.737	0.677	0.676	0.698	0.679	0.767	0.688	0.643	0.67	0.685	0.711	0.76	0.723	0.67	0.709	0.779	0.696	0.729	0.73	0.693	0.679	0.71	0.71	0.688	0.739	0.71	0.764	0.744	0.693	0.7	0.724	0.766	0.72	0.705	0.703	0.625	0.728	0.709	0.665	0.718	0.778	0.663	0.766	0.738	0.764	0.764	0.71	0.761	0.726	0.732	0.654	0.657	0.7	0.782	0.719	0.756	0.713	0.666	0.77	0.736	0.68	0.74	0.698	0.661	0.744	0.73	0.71	0.707	0.697	0.735	0.703	0.659	0.67	0.758	0.739	0.768	0.718	0.747	0.675	0.726	0.739
Smc3	0.686	0.666	0.691	0.63	0.747	0.748	0.661	0.654	0.696	0.732	0.651	0.72	0.666	0.686	0.677	0.655	0.745	0.647	0.662	0.667	0.684	0.683	0.718	0.688	0.752	0.68	0.686	0.654	0.726	0.671	0.708	0.756	0.675	0.662	0.766	0.697	0.682	0.663	0.698	0.674	0.685	0.681	0.672	0.702	0.67	0.743	0.749	0.687	0.725	0.705	0.738	0.688	0.658	0.688	0.626	0.753	0.737	0.675	0.673	0.728	0.654	0.68	0.703	0.708	0.718	0.635	0.644	0.747	0.714	0.696	0.691	0.7	0.683	0.681	0.741	0.733	0.608	0.727	0.656	0.637	0.713	0.651	0.679	0.778	0.649	0.765	0.681	0.647	0.744	0.676	0.67	0.703	0.705	0.703	0.727	0.71	0.693	0.65	0.713	0.701
YY1	0.738	0.789	0.794	0.756	0.761	0.79	0.807	0.768	0.83	0.821	0.787	0.827	0.774	0.801	0.749	0.82	0.843	0.857	0.736	0.787	0.781	0.823	0.802	0.804	0.799	0.787	0.773	0.714	0.807	0.758	0.82	0.823	0.742	0.813	0.834	0.75	0.791	0.792	0.765	0.772	0.788	0.793	0.736	0.744	0.813	0.777	0.828	0.763	0.832	0.76	0.85	0.736	0.799	0.801	0.755	0.788	0.807	0.746	0.807	0.819	0.754	0.808	0.814	0.826	0.837	0.778	0.846	0.825	0.826	0.794	0.776	0.786	0.817	0.813	0.811	0.788	0.737	0.816	0.806	0.739	0.796	0.763	0.834	0.838	0.809	0.793	0.785	0.759	0.84	0.789	0.799	0.768	0.813	0.806	0.796	0.797	0.771	0.808	0.792	0.813
